"Column0","ÝLAN ADI","MAHALLE","FÝYAT","NET(m²)","BRÜT(m²)","ODA-SALON SAYISI","ODA SAYISI","SALON SAYISI","BANYO SAYISI","FOTOÐRAF SAYISI","BÝNA KAT SAYISI","BULUNDUÐU KAT","YAPI DURUMU","ISITMA","BÝNA YAÞI","AÝDAT","KÝRA GETÝRÝSÝ","Metrekare Baþýna Fiyat"
0,"BOSTANCI'DA MERKEZÝ KONUMDA 3+1 FERAH ARAKAT DAÝRE","Bostancý",6.707570176097936,85,110,"3+1",3,1,2,36,"5","4","Ýkinci El","Merkezi Sistem","31-35 ",0,0,0.07891259030703454
1,"Erenköy Nimet Ekþioðlu Sokak Satýlýk 3+1 Daire","Erenköy",6.892094602690479,110,145,"3+1",3,1,2,29,"10-20 ","7",,"Kombi (Doðalgaz)","21-25 ",500,0,0.06265540547900436
2,"KOZYATAÐININ EN NEZÝH BÖLGESÝNDE SINIRLI SAYIDA DAÝREMÝZ KALDI","Kozyataðý",6.7283537820212285,97,110,"3+1",3,1,2,13,"10-20 ","8",,"Klima","0",0,0,0.06936447197960029
3,"BOSTANCI SAHÝLDE ÖNÜ KAPANMAZ 160 M2, 4+1 SATILIK DAÝRE","Bostancý",6.997823080745725,130,160,"4+1",4,1,2,27,"3","3","Ýkinci El","Kombi (Doðalgaz)","40 ",250,,0.05382940831342865
4,"FENERYOLU'NDA 3 YILLIK ÝSKANLI 200m2 TERASLI DUBLEKS SATILIK 3+1","Feneryolu",6.929418925714292,160,200,"3+1",3,1,2,31,"9","9","Ýkinci El","Kombi (Doðalgaz)","3",200,25,0.04330886828571433
5,"ÇÝFTEHAVUZLAR'DA 175M2 3 BALKONLU ASANSÖRLÜ OTOPARKLI MASRAFSIZ","Göztepe",6.942008053022313,140,170,"4+1",4,1,2,31,"10-20 ","4","Ýkinci El","Merkezi Sistem","21-25 ",,,0.04958577180730224
6,"Feneryolu Yazýcýbaþý Sokak Kamelya'ya Yakýn 4+1 Daire","Feneryolu",7.096910013008055,173,220,"4+1",4,1,1,26,"8","3","Ýkinci El","Kombi (Doðalgaz)","11-15 ",0,0,0.04102260123126043
7,"Fenerbahçe Ayanoðlu Baðdat Cad. Yakýn Katta Tek Geniþ Balkon","Fenerbahçe",7.3979400086720375,200,250,"4+1",4,1,3,26,"9","9","Sýfýr","Kombi (Doðalgaz)","0",0,0,0.03698970004336019
8,"2+1 Yeni Sýfýr Ziverbey Müjdat Gezen KarþýsýCaddeye 2. Bina","Eðitim",6.579211780231499,70,90,"2+1",2,1,2,26,"8","7","Yapým Aþamasýnda","Kombi (Doðalgaz)","0",0,0,0.09398873971759285
9,"KOZYATAÐINDA 3+1 KOZZY AVM YAKIN 110M2 NET","Kozyataðý",6.678062904974344,110,140,"3+1",3,1,1,21,"9","4","Ýkinci El","Merkezi Sistem","31-35 ",,,0.06070966277249404
